scenario,stat,legacy_ms,indexed_ms,regression,pass
decode_bs1_past_kv_len128,median,6.568112,6.736592,0.025651,true
decode_bs1_past_kv_len128,p95,6.853957,6.888651,0.005062,true
decode_bs1_past_kv_len1536,median,8.249568,8.319696,0.008501,true
decode_bs1_past_kv_len1536,p95,8.624531,8.517069,-0.012460,true
decode_bs1_past_kv_len512,median,7.267328,7.382016,0.015781,true
decode_bs1_past_kv_len512,p95,7.305421,7.522406,0.029702,true
decode_bs4_past_kv_len128,median,6.952960,7.085056,0.018999,true
decode_bs4_past_kv_len128,p95,7.403571,7.496307,0.012526,true
decode_bs4_past_kv_len1536,median,8.547328,8.615936,0.008027,true
decode_bs4_past_kv_len1536,p95,8.754483,8.798208,0.004995,true
decode_bs4_past_kv_len512,median,7.651328,7.724032,0.009502,true
decode_bs4_past_kv_len512,p95,7.894229,8.021811,0.016161,true
prefill_bs1_input_len1024,median,104.342529,104.592911,0.002400,true
prefill_bs1_input_len1024,p95,104.625204,104.772709,0.001410,true
prefill_bs1_input_len128,median,18.555424,18.722848,0.009023,true
prefill_bs1_input_len128,p95,18.720102,18.810061,0.004805,true
prefill_bs1_input_len512,median,48.728321,48.886273,0.003241,true
prefill_bs1_input_len512,p95,49.005927,49.111140,0.002147,true
prefill_bs4_input_len1024,median,391.138596,391.670791,0.001361,true
prefill_bs4_input_len1024,p95,392.398032,392.625972,0.000581,true
prefill_bs4_input_len128,median,42.593281,42.841600,0.005830,true
prefill_bs4_input_len128,p95,42.940908,43.005339,0.001500,true
prefill_bs4_input_len512,median,168.500862,168.847427,0.002057,true
prefill_bs4_input_len512,p95,168.912158,169.377663,0.002756,true
