mode,scenario,baseline_median_ms,baseline_p95_ms,scheduled_median_ms,scheduled_p95_ms,median_delta_pct,p95_delta_pct
shared,b1_i128_k128,31.6160,32.0123,32.0533,32.3041,1.38,0.91
shared,b1_i512_k512,60.7652,61.1686,61.1514,61.4505,0.64,0.46
shared,b1_i1024_k1536,116.7473,117.4323,117.1589,117.6289,0.35,0.17
shared,b2_i128_k128,37.8348,38.1460,38.3183,38.6611,1.28,1.35
shared,b2_i512_k512,101.5511,101.8829,102.1102,102.7718,0.55,0.87
shared,b2_i1024_k1536,212.7677,213.4231,213.3761,214.2249,0.29,0.38
independent,b1_i128_k128,24.4224,24.5429,21.3627,21.5297,-12.53,-12.28
independent,b1_i512_k512,55.4609,55.7138,51.6342,51.8814,-6.90,-6.88
independent,b1_i1024_k1536,112.3932,112.7035,107.7361,108.1428,-4.14,-4.05
independent,b2_i128_k128,31.3252,31.5331,28.0426,28.4205,-10.48,-9.87
independent,b2_i512_k512,96.1219,96.5417,92.0658,92.4440,-4.22,-4.24
independent,b2_i1024_k1536,207.7952,208.3297,202.9681,203.5098,-2.32,-2.31
