iteration,mode,makespan_ms,prefill_ms,decode_ms,overlap_fraction
0,sequential,24.236769,18.522112,5.709824,0.000000
0,concurrent,21.355040,21.350271,8.673280,0.288724
1,concurrent,21.161983,21.158913,8.681472,0.290827
1,sequential,24.236704,18.544767,5.687456,0.000000
2,sequential,24.315905,18.616320,5.695936,0.000000
2,concurrent,21.393408,21.388288,8.655872,0.287935
3,concurrent,21.315584,21.312511,8.788992,0.291876
3,sequential,24.240128,18.548737,5.688320,0.000000
4,sequential,24.232512,18.540545,5.688320,0.000000
4,concurrent,21.279743,21.275488,8.776704,0.291907
5,concurrent,21.195776,21.192703,8.700928,0.290960
5,sequential,24.269823,18.567200,5.699584,0.000000
6,sequential,24.226656,18.549791,5.673984,0.000000
6,concurrent,21.285696,21.281792,8.646656,0.288781
7,concurrent,21.285889,21.281792,8.642560,0.288677
7,sequential,24.255487,18.552223,5.699584,0.000000
8,sequential,24.265568,18.565121,5.697536,0.000000
8,concurrent,21.185535,21.180223,8.745984,0.292074
9,concurrent,21.238785,21.236481,8.712192,0.290827
9,sequential,24.237823,18.556929,5.678080,0.000000
10,sequential,24.225792,18.530304,5.692448,0.000000
10,concurrent,21.223328,21.218304,8.809472,0.293210
11,concurrent,21.208063,21.204992,8.689664,0.290573
11,sequential,24.247999,18.545664,5.699584,0.000000
12,sequential,24.248320,18.547712,5.697952,0.000000
12,concurrent,21.135168,21.130144,8.835072,0.294677
13,concurrent,21.314560,21.310465,8.591360,0.287182
13,sequential,24.242176,18.551807,5.686688,0.000000
14,sequential,24.238079,18.537409,5.694464,0.000000
14,concurrent,21.017248,21.013409,8.882176,0.296978
15,concurrent,21.264353,21.261312,8.652800,0.289153
15,sequential,24.267776,18.573313,5.691584,0.000000
16,sequential,24.272896,18.566145,5.703936,0.000000
16,concurrent,21.359615,21.354496,8.736768,0.290172
17,concurrent,21.224447,21.222336,8.885248,0.295047
17,sequential,24.260416,18.555904,5.701632,0.000000
18,sequential,24.273920,18.564096,5.706752,0.000000
18,concurrent,21.070848,21.066751,8.760320,0.293566
19,concurrent,21.160959,21.157120,8.766464,0.292833
19,sequential,24.250368,18.538879,5.708960,0.000000
20,sequential,24.232960,18.538496,5.690368,0.000000
20,concurrent,21.194752,21.190657,8.695808,0.290824
21,concurrent,21.288927,21.285889,8.710144,0.290275
