iteration,mode,makespan_ms,prefill_ms,decode_ms,overlap_fraction
0,sequential,99.907585,74.516479,25.388033,0.000000
0,concurrent,87.577919,82.216957,35.565567,0.256444
1,concurrent,87.259293,82.872894,35.371010,0.262040
1,sequential,99.999741,74.588158,25.408512,0.000000
2,sequential,100.063232,74.629120,25.431393,0.000000
2,concurrent,87.380989,82.669571,35.429375,0.260104
3,concurrent,87.432449,82.184189,35.528706,0.257240
3,sequential,99.930115,74.539009,25.388033,0.000000
4,sequential,100.041725,74.614784,25.423872,0.000000
4,concurrent,87.795906,82.907837,35.827713,0.260576
5,concurrent,87.469055,82.768898,35.574783,0.260890
5,sequential,99.940353,74.567680,25.369600,0.000000
6,sequential,99.921921,74.536003,25.379841,0.000000
6,concurrent,87.513245,82.565117,35.556351,0.259125
7,concurrent,87.294975,82.699135,35.354626,0.260549
7,sequential,100.000771,74.582016,25.415680,0.000000
8,sequential,100.000771,74.615807,25.381887,0.000000
8,concurrent,87.277565,82.596512,35.408897,0.260394
9,concurrent,87.379135,82.427902,35.464191,0.258821
9,sequential,99.920898,74.533890,25.384159,0.000000
10,sequential,99.927040,74.542206,25.380863,0.000000
10,concurrent,87.345154,82.521790,35.462143,0.259686
11,concurrent,87.335938,82.463585,35.397633,0.258993
11,sequential,99.951614,74.565636,25.382336,0.000000
12,sequential,100.040703,74.653694,25.384031,0.000000
12,concurrent,87.523453,82.570236,35.595264,0.259315
13,concurrent,87.499107,82.375679,35.573761,0.258164
13,sequential,99.938301,74.563583,25.371649,0.000000
14,sequential,99.991554,74.613762,25.374720,0.000000
14,concurrent,87.375168,82.424385,35.480576,0.258936
15,concurrent,87.263618,82.473984,35.343361,0.259331
15,sequential,99.937279,74.557442,25.376768,0.000000
16,sequential,99.963905,74.573952,25.385984,0.000000
16,concurrent,87.347198,82.105118,35.463169,0.257051
17,concurrent,88.172867,82.923523,35.938305,0.258190
17,sequential,99.982338,74.612740,25.366528,0.000000
18,sequential,99.991554,74.587135,25.401344,0.000000
18,concurrent,87.461891,82.500610,35.527679,0.258975
19,concurrent,87.409660,82.531326,35.522560,0.259578
19,sequential,99.934212,74.562561,25.368576,0.000000
20,sequential,99.834877,74.551292,25.280737,0.000000
20,concurrent,86.917213,82.340866,35.320831,0.261296
21,concurrent,86.904831,82.049828,35.306496,0.259479
21,sequential,99.330048,74.027008,25.299200,0.000000
22,sequential,99.341309,74.054657,25.283615,0.000000
22,concurrent,86.964226,82.130943,35.305473,0.259478
23,concurrent,87.143646,82.280029,35.542015,0.260379
23,sequential,99.420158,74.093567,25.322945,0.000000
24,sequential,99.377151,74.094627,25.279488,0.000000
24,concurrent,87.615486,82.382851,35.614719,0.257481
25,concurrent,86.989922,81.743874,35.470337,0.257855
25,sequential,99.440643,74.115074,25.322496,0.000000
