comparison,metric,baseline,candidate,delta_percent
legacy_vs_indexed,serving_wall_ms,3587.000000,3604.000000,0.474
legacy_vs_indexed,request_throughput_rps,3.345414,3.329634,-0.472
legacy_vs_indexed,vision_gpu_ms,273.530884,273.016785,-0.188
legacy_vs_indexed,prefill_gpu_ms,464.371094,464.993835,0.134
legacy_vs_indexed,generation_gpu_ms,2782.645752,2796.863281,0.511
legacy_vs_indexed,measured_gpu_ms,3521.351105,3538.764069,0.494
legacy_vs_indexed,prefill_tokens_per_second,10928.759766,10914.123047,-0.134
legacy_vs_indexed,generation_tokens_per_second,283.183746,284.604553,0.502
legacy_vs_indexed,generation_ms_per_token,3.531276,3.513647,-0.499
legacy_vs_indexed,peak_gpu_memory_mb,8888.000000,8894.000000,0.068
indexed_bs1_vs_bs2,serving_wall_ms,5610.000000,3604.000000,-35.758
indexed_bs1_vs_bs2,request_throughput_rps,2.139037,3.329634,55.660
indexed_bs1_vs_bs2,vision_gpu_ms,275.799011,273.016785,-1.009
indexed_bs1_vs_bs2,prefill_gpu_ms,509.727264,464.993835,-8.776
indexed_bs1_vs_bs2,generation_gpu_ms,4755.434570,2796.863281,-41.186
indexed_bs1_vs_bs2,measured_gpu_ms,5541.893799,3538.764069,-36.145
indexed_bs1_vs_bs2,prefill_tokens_per_second,9956.305664,10914.123047,9.620
indexed_bs1_vs_bs2,generation_tokens_per_second,165.877106,284.604553,71.576
indexed_bs1_vs_bs2,generation_ms_per_token,6.028559,3.513647,-41.717
indexed_bs1_vs_bs2,peak_gpu_memory_mb,8894.000000,8894.000000,0.000
