workload,repeat,engine,duration_ms,request_s,generated_token_s,ttft_median_ms,ttft_p95_ms,tpot_median_ms,tpot_p95_ms,e2e_median_ms,e2e_p95_ms
balanced,1,baseline,9118.363,31.5846,2737.333,3722.833,7528.945,11.173,11.501,4662.679,8390.727
balanced,1,packed,8497.629,33.8918,2937.290,3423.614,6941.781,10.384,10.676,4300.200,7767.308
balanced,2,baseline,9109.603,31.6150,2739.966,3714.119,7521.505,11.168,11.499,4654.395,8382.449
balanced,2,packed,8518.029,33.8106,2930.255,3432.388,6960.218,10.417,10.727,4311.194,7786.868
balanced,3,baseline,9112.679,31.6043,2739.041,3714.957,7522.481,11.175,11.507,4657.221,8384.277
balanced,3,packed,8505.774,33.8593,2934.477,3425.491,6948.941,10.392,10.702,4303.046,7774.911
decode-heavy,1,baseline,23027.936,12.5065,3251.703,9415.394,19058.004,9.291,9.431,11697.312,21434.715
decode-heavy,1,packed,22434.093,12.8376,3337.777,9145.092,18467.517,9.037,9.158,11357.846,20833.736
decode-heavy,2,baseline,23047.954,12.4957,3248.878,9426.821,19075.795,9.300,9.432,11710.693,21453.973
decode-heavy,2,packed,22430.160,12.8398,3338.362,9144.474,18466.604,9.041,9.157,11357.297,20831.530
decode-heavy,3,baseline,23047.164,12.4961,3248.990,9421.019,19074.593,9.297,9.438,11705.399,21453.305
decode-heavy,3,packed,22444.108,12.8319,3336.288,9147.401,18476.594,9.045,9.165,11362.148,20845.746
