scenario,profile,slot_count,group,prefill_batch,decode_batch,chunk_tokens_per_request,mean_decode_context_tokens,samples,gpu_mean_ms,gpu_median_ms,gpu_p95_ms,gpu_max_ms
prefill_bs1,prefill,16,prefill_cache_commit,1,0,128,0,48,0.003706,0.004096,0.004096,0.004096
prefill_bs1,prefill,16,prefill_engine,1,0,128,0,48,18.267312541666666,18.285056,18.3286896,18.392063
prefill_bs1,prefill,16,prefill_prepare,1,0,128,0,48,0.028035333333333332,0.026624,0.029696,0.078752
prefill_bs1,prefill,16,prefill_sample,1,0,128,0,48,0.022030666666666667,0.02192,0.026355199999999995,0.028064
prefill_bs2,prefill,16,prefill_cache_commit,1,0,128,0,2,0.003072,0.003072,0.003072,0.003072
prefill_bs2,prefill,16,prefill_cache_commit,2,0,128,0,23,0.0033961739130434782,0.003072,0.004096,0.004096
prefill_bs2,prefill,16,prefill_engine,1,0,128,0,2,18.406912,18.406912,18.5170432,18.52928
prefill_bs2,prefill,16,prefill_engine,2,0,128,0,23,24.421743217391306,24.476671,24.5176319,24.579073
prefill_bs2,prefill,16,prefill_prepare,1,0,128,0,2,0.052736,0.052736,0.07623680000000001,0.078848
prefill_bs2,prefill,16,prefill_prepare,2,0,128,0,23,0.03335930434782609,0.032768,0.0348,0.036224
prefill_bs2,prefill,16,prefill_sample,1,0,128,0,2,0.023632,0.023632,0.027016,0.027392
prefill_bs2,prefill,16,prefill_sample,2,0,128,0,23,0.021129739130434783,0.020896,0.024992,0.026016
prefill_bs4,prefill,16,prefill_cache_commit,1,0,128,0,1,0.004096,0.004096,0.004096,0.004096
prefill_bs4,prefill,16,prefill_cache_commit,3,0,128,0,1,0.004096,0.004096,0.004096,0.004096
prefill_bs4,prefill,16,prefill_cache_commit,4,0,128,0,11,0.0038545454545454542,0.004096,0.004096,0.004096
prefill_bs4,prefill,16,prefill_engine,1,0,128,0,1,18.262016,18.262016,18.262016,18.262016
prefill_bs4,prefill,16,prefill_engine,3,0,128,0,1,35.071262,35.071262,35.071262,35.071262
prefill_bs4,prefill,16,prefill_engine,4,0,128,0,11,41.496855000000004,41.624577,41.806846500000006,41.908222
prefill_bs4,prefill,16,prefill_prepare,1,0,128,0,1,0.077824,0.077824,0.077824,0.077824
prefill_bs4,prefill,16,prefill_prepare,3,0,128,0,1,0.047936,0.047936,0.047936,0.047936
prefill_bs4,prefill,16,prefill_prepare,4,0,128,0,11,0.04786909090909091,0.047968,0.050176,0.0512
prefill_bs4,prefill,16,prefill_sample,1,0,128,0,1,0.022464,0.022464,0.022464,0.022464
prefill_bs4,prefill,16,prefill_sample,3,0,128,0,1,0.02704,0.02704,0.02704,0.02704
prefill_bs4,prefill,16,prefill_sample,4,0,128,0,11,0.032820363636363634,0.03216,0.035232,0.035232
prefill_bs8,prefill,16,prefill_cache_commit,1,0,128,0,1,0.003072,0.003072,0.003072,0.003072
prefill_bs8,prefill,16,prefill_cache_commit,7,0,128,0,1,0.004096,0.004096,0.004096,0.004096
prefill_bs8,prefill,16,prefill_cache_commit,8,0,128,0,5,0.0037056,0.004096,0.004096,0.004096
prefill_bs8,prefill,16,prefill_engine,1,0,128,0,1,18.697216,18.697216,18.697216,18.697216
prefill_bs8,prefill,16,prefill_engine,7,0,128,0,1,68.100098,68.100098,68.100098,68.100098
prefill_bs8,prefill,16,prefill_engine,8,0,128,0,5,74.2932678,74.597374,74.6082324,74.608643
prefill_bs8,prefill,16,prefill_prepare,1,0,128,0,1,0.080832,0.080832,0.080832,0.080832
prefill_bs8,prefill,16,prefill_prepare,7,0,128,0,1,0.064512,0.064512,0.064512,0.064512
prefill_bs8,prefill,16,prefill_prepare,8,0,128,0,5,0.0677056,0.067584,0.0690944,0.069216
prefill_bs8,prefill,16,prefill_sample,1,0,128,0,1,0.0264,0.0264,0.0264,0.0264
prefill_bs8,prefill,16,prefill_sample,7,0,128,0,1,0.04368,0.04368,0.04368,0.04368
prefill_bs8,prefill,16,prefill_sample,8,0,128,0,5,0.051545600000000004,0.051552,0.0535936,0.0536
prefill_bs16,prefill,16,prefill_cache_commit,1,0,128,0,1,0.004096,0.004096,0.004096,0.004096
prefill_bs16,prefill,16,prefill_cache_commit,15,0,128,0,1,0.004096,0.004096,0.004096,0.004096
prefill_bs16,prefill,16,prefill_cache_commit,16,0,128,0,2,0.003584,0.003584,0.0040447999999999994,0.004096
prefill_bs16,prefill,16,prefill_engine,1,0,128,0,1,18.697216,18.697216,18.697216,18.697216
prefill_bs16,prefill,16,prefill_engine,15,0,128,0,1,136.523773,136.523773,136.523773,136.523773
prefill_bs16,prefill,16,prefill_engine,16,0,128,0,2,142.833664,142.833664,143.6326858,143.721466
prefill_bs16,prefill,16,prefill_prepare,1,0,128,0,1,0.078848,0.078848,0.078848,0.078848
prefill_bs16,prefill,16,prefill_prepare,15,0,128,0,1,0.106304,0.106304,0.106304,0.106304
prefill_bs16,prefill,16,prefill_prepare,16,0,128,0,2,0.11003199999999999,0.11003199999999999,0.114136,0.114592
prefill_bs16,prefill,16,prefill_sample,1,0,128,0,1,0.029504,0.029504,0.029504,0.029504
prefill_bs16,prefill,16,prefill_sample,15,0,128,0,1,0.08752,0.08752,0.08752,0.08752
prefill_bs16,prefill,16,prefill_sample,16,0,128,0,2,0.091504,0.091504,0.0915184,0.09152
decode_bs1,decode,16,decode_engine,0,1,0,128,16,6.274622,6.2596,6.340184,6.492512
decode_bs1,decode,16,decode_engine,0,1,0,129,20,6.2685232,6.260016,6.312784,6.422528
decode_bs1,decode,16,decode_engine,0,1,0,130,22,6.263298909090909,6.259232000000001,6.273945599999999,6.401024
