scenario,profile,slot_count,prefill_batch_limit,decode_batch_limit,requests,prompt_tokens,output_tokens,achieved_rps,ttft_mean_ms,ttft_median_ms,ttft_p95_ms,tpot_mean_ms,tpot_median_ms,tpot_p95_ms,e2e_mean_ms,e2e_median_ms,e2e_p95_ms
prefill_bs1,prefill,16,1,1,48,128,1,54.43608749693797,426.2098125,425.824,793.9276,0.0,0.0,0.0,426.2151666666667,425.82849999999996,793.9326
prefill_bs2,prefill,16,2,1,48,128,1,79.84669434685404,288.62710416666664,288.503,528.9730999999999,0.0,0.0,0.0,288.63310416666667,288.509,528.97875
prefill_bs4,prefill,16,4,1,48,128,1,93.78516943853946,254.496,246.293,454.55864999999994,0.0,0.0,0.0,254.50327083333335,246.3005,454.56594999999993
prefill_bs8,prefill,16,8,1,48,128,1,104.4372788866986,245.3706875,224.21,416.24399999999997,0.0,0.0,0.0,245.37885416666666,224.216,416.25335
prefill_bs16,prefill,16,16,1,48,128,1,108.59359976471387,270.44795833333336,279.649,406.65,0.0,0.0,0.0,270.45908333333335,279.66,406.65935
decode_bs1,decode,16,1,1,24,128,24,6.200697991903955,942.2801666666667,243.39600000000002,2625.5826,90.09517753629167,105.8695652175,109.29849999985001,3014.46925,2738.2835,3841.3812000000003
decode_bs2,decode,16,1,2,24,128,24,11.236460065620927,571.8379583333333,248.2355,1479.6188499999998,48.148326086875,55.881478261,58.830310869899996,1679.2494583333335,1580.646,2108.22215
decode_bs4,decode,16,1,4,24,128,24,18.353633216405395,399.95975,255.4885,934.9737499999999,28.00736775354167,31.944195652,34.7882891301,1044.1292083333333,1025.627,1278.1276
decode_bs8,decode,16,1,8,24,128,24,18.866574796928838,394.8623333333333,281.955,885.3876499999999,26.718302536166668,29.8867826085,32.1284782611,1009.3832916666667,1008.908,1242.79865
decode_bs16,decode,16,1,16,24,128,24,24.781458512740766,321.497125,282.22450000000003,637.2231999999999,18.240097826041666,19.2406956525,20.803149999650003,741.019375,724.7605,939.10205
overlap_p1_d15,overlap,16,1,15,48,512,16,10.396552676408382,2597.8304166666667,2761.345,4340.44435,23.523240277770835,24.5909666665,26.923186667,2950.679020833333,3142.882,4555.4607
overlap_p2_d14,overlap,16,2,14,48,512,16,14.225016647714796,1831.3701666666666,1967.101,3098.936,26.677368055604166,27.920766667000002,33.1857099999,2231.5306875,2430.5265,3322.8050000000003
overlap_p4_d12,overlap,16,4,12,48,512,16,15.403974032750774,1655.6025,1749.4955,2852.746,31.03555277777083,30.582700000000003,44.930443333549995,2121.1357916666666,2290.3165,3069.72835
overlap_p6_d10,overlap,16,6,10,48,512,16,14.638926307949943,1716.7155833333334,1838.56,2938.319,34.70360972225,32.7096,49.982309999900004,2237.269729166667,2413.7165,3231.3
overlap_p8_d8,overlap,16,8,8,48,512,16,14.126118575227908,1729.9695,1727.7624999999998,2966.4030000000002,39.9310055555625,41.3803333335,48.800266667,2328.934583333333,2422.0564999999997,3355.609
overlap_p10_d6,overlap,16,10,6,48,512,16,15.150166557143587,1652.606,1708.7015000000001,2836.274,34.152611111104164,31.7778666665,52.8568,2164.8951666666667,2301.9970000000003,3123.93135
overlap_p12_d4,overlap,16,12,4,48,512,16,13.688828404547086,1772.671,1840.683,3057.306,41.777690277812496,40.867133333,61.5099099999,2399.3363541666668,2547.7915000000003,3460.159
overlap_p14_d2,overlap,16,14,2,48,512,16,10.102959683086993,2139.4384583333335,2191.938,3870.313,73.26811111110416,74.397333333,88.35070999989999,3238.460125,3413.583,4699.66135
overlap_p15_d1,overlap,16,15,1,48,512,16,6.517638154579639,2970.9512291666665,2925.094,5604.2356,134.22358333335416,139.2604666665,153.11988666645,4984.304979166666,5059.182000000001,7303.4904
